directory,sample,total_events,valid_events
,2022_DataC.parquet,51333,51333
,2022_DataD.parquet,30874,30874
,2022_preEE_DDQCDGJET_Rescaled.parquet,18604,18604
,2022_preEE_GGJets_MGG-80.parquet,898062,898062
,2022_preEE_GGJets_high_Rescaled.parquet,898062,898062
,2022_preEE_GGJets_low_Rescaled.parquet,164746,164746
,2022_preEE_GJetPt20To40.parquet,6265,6265
,2022_preEE_GJetPt40.parquet,18108,18108
,2022_preEE_GluGluHtoGG.parquet,65669,65669
,2022_preEE_NMSSM_X500_Y150.parquet,8617,8617
,2022_preEE_TTG_100to200.parquet,3949,3949
,2022_preEE_TTG_200.parquet,2130,2130
,NMSSM_X1000_Y125.parquet,11579,11579
,NMSSM_X1000_Y150.parquet,11402,11402
,NMSSM_X1000_Y200.parquet,11668,11668
,NMSSM_X1000_Y300.parquet,11520,11520
,NMSSM_X1000_Y400.parquet,3514,3514
,NMSSM_X1000_Y500.parquet,10846,10846
,NMSSM_X1000_Y600.parquet,10295,10295
,NMSSM_X1000_Y800.parquet,8438,8438
,NMSSM_X1000_Y90.parquet,11503,11503
,NMSSM_X1000_Y95.parquet,11533,11533
,NMSSM_X300_Y125.parquet,6843,6843
,NMSSM_X300_Y150.parquet,163,163
,NMSSM_X300_Y90.parquet,1189,1189
,NMSSM_X300_Y95.parquet,6213,6213
,NMSSM_X400_Y100.parquet,7840,7840
,NMSSM_X400_Y125.parquet,8072,8072
,NMSSM_X400_Y150.parquet,8028,8028
,NMSSM_X400_Y200.parquet,7503,7503
,NMSSM_X400_Y90.parquet,6890,6890
,NMSSM_X400_Y95.parquet,7883,7883
,NMSSM_X500_Y100.parquet,8121,8121
,NMSSM_X500_Y125.parquet,8939,8939
,NMSSM_X500_Y150.parquet,8356,8356
,NMSSM_X500_Y200.parquet,8829,8829
,NMSSM_X500_Y300.parquet,6459,6459
,NMSSM_X500_Y90.parquet,5746,5746
,NMSSM_X500_Y95.parquet,1781,1781
,NMSSM_X550_Y100.parquet,3221,3221
,NMSSM_X550_Y125.parquet,8911,8911
,NMSSM_X550_Y150.parquet,9386,9386
,NMSSM_X550_Y200.parquet,9349,9349
,NMSSM_X550_Y300.parquet,8822,8822
,NMSSM_X550_Y400.parquet,8307,8307
,NMSSM_X550_Y90.parquet,7437,7437
,NMSSM_X550_Y95.parquet,8752,8752
,NMSSM_X600_Y100.parquet,1364,1364
,NMSSM_X600_Y125.parquet,9435,9435
,NMSSM_X600_Y150.parquet,629,629
,NMSSM_X600_Y200.parquet,7603,7603
,NMSSM_X600_Y300.parquet,1206,1206
,NMSSM_X600_Y400.parquet,1128,1128
,NMSSM_X600_Y90.parquet,3300,3300
,NMSSM_X600_Y95.parquet,2642,2642
,NMSSM_X650_Y100.parquet,10033,10033
